ln,dob,gn,fn
SMITH JR,01/03/1968,F,WILLIAM
ROTHMEYER JR,01/03/1968,F,WILLIAM
ASBY JR,01/03/1968,F,WILLIAM
SALTER JR,01/03/1968,F,WILLIAM
SALTER JR,01/03/1968,F,WILLIAM
BLAND JR,21/02/1962,F,WILLIAM
BLAND JR,21/02/1962,F,WILLIAM
BLAND JR,21/02/1962,F,WILLIAM
SHAFFER JR,21/02/1962,F,WILLIAM
SHAFFER JR,21/02/1962,F,WILLIAM
BLAND III,21/02/1962,F,WILLIAM
BLAND JR,21/02/1962,F,BILL
BLAND,21/02/1962,F,WILLIAM
BLAND JR,21/02/1962,F,WILLIAM
BLAND JR,08/06/1954,F,WILLIAM
BLAND JR,08/06/1954,F,WILLIAM
BLAND JR,25/10/1953,F,WILLIAM
BLAND JR,25/10/1953,F,WILLIAM
SHAFFER JR,25/10/1953,F,WILLIAM
DUNCAN JR,25/10/1953,F,THOMAS
CARLSON JR,25/10/1953,F,ROY
CARLSON JR,25/10/1953,F,RON
DUNCAN JR,25/10/1953,F,ROY
MICHAELSON,25/10/1953,M,ROY
MICHAELSON JR,25/10/1953,M,ROY
MICHAELSON,25/10/1953,M,ROY
MICHAELSON JR,25/10/1953,M,ROY
MICHAELSON JR,01/05/1951,M,ROY
MICHAELSON JR,17/06/1948,M,ROY
MICHAELSON JR,17/06/1948,M,ROY
MICHAELSON JR,09/04/1947,M,ROY
MICHAELSON JR,09/04/1947,M,ROBERT
MICHAELSON JR,09/04/1947,M,BOB
MUSTAPHA JR,11/03/1947,M,OWEN
MUSTAPHA JR,11/03/1947,M,OWAN
HOUGHTON JR,31/01/1946,M,LAWRENCE
HOUGHTON JR,31/01/1946,M,LAWRENCE
HOUGHTON JR,31/01/1946,M,LAWRENCE
LIND JR,31/01/1946,M,LAWRENCE
LIND JR,31/01/1946,M,LAWRENCE
LIND JR,31/01/1946,M,KENNETH
LIND JR,31/01/1946,M,KENNETH
LIND JR,20/01/1946,M,JOHN
CAIN JR,20/01/1946,M,JOHN
CLARK,09/06/1945,M,JOHN
CLARK,09/02/1945,M,RONALD
CLARK,09/02/1945,M,DONALD
CLARK,16/12/1944,M,JOHN
CLARK JR,16/12/1944,M,JOHN
CLARK JR,16/12/1944,M,JOHN
MICHAELSON JR,16/12/1944,M,JOHN
MICHAELSON JR,16/12/1944,M,JOHN
MICHAELSON JR,16/12/1944,M,JOHN
MICHAELSON JR,24/04/1940,M,JOHN
MICHAELSON JR,24/04/1940,M,JOHN
MICHAELSON JR,24/06/1939,M,JOHN
MICHAELSON JR,24/06/1939,M,JOHN
MICHAELSON JR,24/06/1939,M,JOHN
MICHAELSON JR,24/06/1939,M,JAMES
MICHAELSON JR,24/06/1939,M,JAMES
MICHAELSON JR,24/06/1939,M,JACK
MICHAELSON JR,09/06/1939,M,JACK
LARSON JR,09/06/1939,M,HAROLD
LARSON JR,09/06/1939,M,HAROLD
MUSTAPHA JR,07/10/1937,M,HAROLD
HOUGHTON JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
MELVIN JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
MICHAELSON JR,07/10/1937,M,HAROLD
MICHAELSON JR,07/10/1937,M,HAROLD
SMITH JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
CHAVAS JR,07/10/1937,M,HAROLD
FAGEN JR,07/10/1937,M,HAROLD
FAGEN JR,07/10/1937,M,HAROLD
FAGEN JR,07/10/1937,M,GEORGE
GRIFFIN JR,07/10/1937,M,DARH
GRIFFIN JR,10/07/1937,M,DARL
GRIFFIN JR,07/05/1937,M,DARL
GRIFFIN JR,07/05/1937,M,CLIFFORD
GRIFFIN JR,07/05/1937,M,CLIFFORD
GRIFFIN JR,07/05/1937,M,CLIFFORD
GRIFFIN JR,07/05/1937,M,CLARENCE
HANNA,24/11/1934,M,ADDISON J
HANNA,24/11/1934,M,ADDISON JOHN
HANNA,24/11/1934,M,ADDISON
HANNA,24/11/1934,M,ADDISON
HANNA,24/11/1934,M,ADDISON
GALETICH JR,15/10/1932,M,ADDISON
FUNARO JONES,06/12/1937,F,HARRIET
FUNARO J,06/12/1937,F,HARRIET
Frometa Garo,06/12/1937,M,Vladimir Antonio
Frometa,06/12/1937,M,Vladimir A
 Frometa G,06/12/1937,M,Vladimir A
